code,name,gender,country_long,nationality_long,birth_date
1918853,LKHAGVASUREN Sosorbaram,Female,Mongolia,Mongolia,22/03/2001
1918856,LIU Yang,Male,People's Republic of China,People's Republic of China,11/08/1994
1918858,SU Weide,Male,People's Republic of China,People's Republic of China,19/03/2000
1918860,XIAO Ruoteng,Male,People's Republic of China,People's Republic of China,30/01/1996
1918864,ZHANG Boheng,Male,People's Republic of China,People's Republic of China,04/03/2000
1918865,ZOU Jingyuan,Male,People's Republic of China,People's Republic of China,03/01/1998
1918870,LUO Huan,Female,People's Republic of China,People's Republic of China,06/03/2000
1918871,OU Yushan,Female,People's Republic of China,People's Republic of China,13/01/2004
1918872,QIU Qiyuan,Female,People's Republic of China,People's Republic of China,24/05/2007
1918878,ZHANG Yihan,Female,People's Republic of China,People's Republic of China,24/01/2008
1918880,OTGONBAYAR Khuslen,Female,Mongolia,Mongolia,26/10/2004
1918881,ZHOU Yaqin,Female,People's Republic of China,People's Republic of China,12/11/2005
1918912,LKHAGVATOGOO Enkhriilen,Female,Mongolia,Mongolia,28/12/1998
1918930,JAIYOO Apisit,Male,Thailand,Thailand,25/06/2004
1918934,CHEN Jinfeng,Male,People's Republic of China,People's Republic of China,08/08/2004
1918936,DENG Zhijian,Male,People's Republic of China,People's Republic of China,05/03/2002
1918943,XIE Zhenye,Male,People's Republic of China,People's Republic of China,17/08/1993
1918954,CHEN Jiapeng,Male,People's Republic of China,People's Republic of China,05/07/2002
1918961,WU Zhiqiang,Male,People's Republic of China,People's Republic of China,10/04/1994
1918962,YAN Haibin,Male,People's Republic of China,People's Republic of China,08/01/2003
1918967,GE Manqi,Female,People's Republic of China,People's Republic of China,13/10/1997
1918980,LI Yuting,Female,People's Republic of China,People's Republic of China,03/05/2002
1918990,WANG Zhaozhao,Male,People's Republic of China,People's Republic of China,01/09/1999
1918995,HE Xianghong,Male,People's Republic of China,People's Republic of China,01/07/1998
1918996,ZHANG Jun,Male,People's Republic of China,People's Republic of China,20/07/1998
1918997,LI Yandong,Male,People's Republic of China,People's Republic of China,02/02/1998
1919002,YANG Jiayu,Female,People's Republic of China,People's Republic of China,18/02/1996
1919003,MA Zhenxia,Female,People's Republic of China,People's Republic of China,01/08/1998
1919006,LIU Hong,Female,People's Republic of China,People's Republic of China,12/05/1987
1919008,QIEYANG Shijie,Female,People's Republic of China,People's Republic of China,11/11/1990
1919015,STAIRMAND Billy,Male,New Zealand,New Zealand,21/10/1989
1919017,VETTE Saffi,Female,New Zealand,New Zealand,31/12/2001
1919024,LIU Junxi,Male,People's Republic of China,People's Republic of China,11/12/2003
1919026,QIN Weibo,Male,People's Republic of China,People's Republic of China,29/12/2002
1919029,XU Zhuoyi,Male,People's Republic of China,People's Republic of China,21/08/2003
1919037,XIE Zhiyu,Male,People's Republic of China,People's Republic of China,24/03/2000
1919051,LIN Yuwei,Female,People's Republic of China,People's Republic of China,02/05/1999
1919053,WU Yanni,Female,People's Republic of China,People's Republic of China,28/07/1997
1919057,MO Jiadie,Female,People's Republic of China,People's Republic of China,06/01/2000
1919065,SONG Jiayuan,Female,People's Republic of China,People's Republic of China,15/09/1997
1919067,FENG Bin,Female,People's Republic of China,People's Republic of China,03/04/1994
1919072,SUN Yue,Female,People's Republic of China,People's Republic of China,19/06/2001
1919073,JIANG Zhichao,Female,People's Republic of China,People's Republic of China,06/01/2005
1919076,WANG Zheng,Female,People's Republic of China,People's Republic of China,14/12/1987
1919077,ZHAO Jie,Female,People's Republic of China,People's Republic of China,13/10/2002
1919082,DAI Qianqian,Female,People's Republic of China,People's Republic of China,23/08/2000
1919085,LYU Huihui,Female,People's Republic of China,People's Republic of China,26/06/1989
1919087,GONG Lijiao,Female,People's Republic of China,People's Republic of China,24/01/1989
1919094,LI Jiangyan,Female,People's Republic of China,People's Republic of China,22/05/1999
1919102,WANG Qi,Male,People's Republic of China,People's Republic of China,10/02/2001
1919110,YANG Shaohui,Male,People's Republic of China,People's Republic of China,09/07/1992
1919111,HE Jie,Male,People's Republic of China,People's Republic of China,27/12/1998
1919117,WU Xiangdong,Male,People's Republic of China,People's Republic of China,17/01/1994
1919120,ZHANG Deshun,Female,People's Republic of China,People's Republic of China,21/02/1996
1919121,BAI Li,Female,People's Republic of China,People's Republic of China,30/03/1996
1919129,XIA Yuyu,Female,People's Republic of China,People's Republic of China,01/03/1998
1919146,XU Shuangshuang,Female,People's Republic of China,People's Republic of China,06/04/1996
1919365,NAKAMURA Haruka,Female,Japan,Japan,18/05/2008
1919408,KISHI Rina,Female,Japan,Japan,23/09/2007
1919416,USHIOKU Kohane,Female,Japan,Japan,17/08/2004
1919473,OKAMURA Mana,Female,Japan,Japan,28/05/2005
1919479,SUGINO Takaaki,Male,Japan,Japan,18/10/1998
1919480,OKA Shinnosuke,Male,Japan,Japan,31/10/2003
1919490,TANIGAWA Wataru,Male,Japan,Japan,23/07/1996
1919491,KAYA Kazuma,Male,Japan,Japan,19/11/1996
1919492,HASHIMOTO Daiki,Male,Japan,Japan,07/08/2001
1919507,ABDUSALOMOVA Munira,Female,Tajikistan,Tajikistan,14/12/1997
1919526,BLAZICKOVA Veronika,Female,Czechia,Czechia,15/07/2003
1919541,LIPTAK Jiri,Male,Czechia,Czechia,30/03/1982
1919546,NYMBURSKY Petr,Male,Czechia,Czechia,01/06/1995
1919548,PODHRASKY Martin,Male,Czechia,Czechia,11/10/1983
1919549,PRIVRATSKY Jiri,Male,Czechia,Czechia,13/03/2001
1919551,RAMPULA Matej,Male,Czechia,Czechia,03/04/2000
1919555,SMETANA Frantisek,Male,Czechia,Czechia,28/11/1997
1919558,SUMOVA Barbora,Female,Czechia,Czechia,17/02/1995
1919561,TOMECEK Jakub,Male,Czechia,Czechia,23/05/1991
1919616,NISHIOKA Ryusei,Male,Japan,Japan,01/11/2003
1919628,MORI Hikaru,Female,Japan,Japan,07/07/1999
1919675,GURTSIEV Georgiy,Male,AIN,Belarus,16/10/2000
1919721,CHAIYASOMBAT Thanakhan,Male,Thailand,Thailand,26/06/1999
1919737,SOMRAT Phetdarin,Female,Thailand,Thailand,06/06/1995
1919789,AKAMATSU Ryoichi,Male,Japan,Japan,02/05/1995
1919790,AKASAKI Akira,Male,Japan,Japan,21/01/1998
1919793,AOKI Ryoma,Male,Japan,Japan,16/06/1997
1919803,DEAN Roderick Genki,Male,Japan,Japan,30/12/1991
1919811,FUJII Nanako,Female,Japan,Japan,07/05/1999
1919815,FUKUBE Mako,Female,Japan,Japan,28/10/1995
1919820,GOSHIMA Rino,Female,Japan,Japan,29/10/1997
1919821,GOTO Yume,Female,Japan,Japan,25/02/2000
1919822,HAMANISHI Ryo,Male,Japan,Japan,24/04/2000
