"medal_type","medal_date","athlete_name","discipline","event_name","country_long"
"Bronze ","2024-07-29","HAUGHEY Siobhan Bernadette","Swimming","Women's 200m Freestyle","Hong Kong, China"
"Silver ","2024-07-31","Kieran Darren David REILLY","Cycling BMX Freestyle","Men's Park","Great Britain"
"Gold ","2024-08-11","LI Wenwen","Weightlifting","Women's +81kg","People's Republic of China"
"Silver ","2024-08-11","PARK Hyejeong","Weightlifting","Women's +81kg","Republic of Korea"
"Bronze ","2024-08-11","Emily CAMPBELL","Weightlifting","Women's +81kg","Great Britain"
"Bronze ","2024-08-11","Sebastian C RIVERA","Wrestling","Men's Freestyle 65kg","Puerto Rico"
"Bronze ","2024-08-11","Islam DUDAEV","Wrestling","Men's Freestyle 65kg","Albania"
"Gold ","2024-08-11","Akhmed TAZHUDINOV","Wrestling","Men's Freestyle 97kg","Bahrain"
"Silver ","2024-08-11","Givi MATCHARASHVILI","Wrestling","Men's Freestyle 97kg","Georgia"
"Bronze ","2024-08-11","Magomedkhan MAGOMEDOV","Wrestling","Men's Freestyle 97kg","Azerbaijan"
"Bronze ","2024-08-11","Amirali AZARPIRA","Wrestling","Men's Freestyle 97kg","Islamic Republic of Iran"
"Gold ","2024-08-11","KAGAMI Yuka","Wrestling","Women's Freestyle 76kg","Japan"
"Silver ","2024-08-11","Kennedy Alexis BLADES","Wrestling","Women's Freestyle 76kg","United States of America"
"Gold ","2024-08-10","People's Republic of China","Rhythmic Gymnastics","Group All-Around","People's Republic of China"
"Silver ","2024-08-10","Israel","Rhythmic Gymnastics","Group All-Around","Israel"
"Gold ","2024-08-09","VARFOLOMEEV Darja","Rhythmic Gymnastics","Individual All-Around","Germany"
"Silver ","2024-08-09","KALEYN Boryana","Rhythmic Gymnastics","Individual All-Around","Bulgaria"
"Bronze ","2024-08-09","RAFFAELI Sofia","Rhythmic Gymnastics","Individual All-Around","Italy"
"Gold ","2024-08-09","THIAM Nafissatou","Athletics","Women's Heptathlon","Belgium"
"Silver ","2024-08-09","JOHNSON-THOMPSON Katarina","Athletics","Women's Heptathlon","Great Britain"
"Bronze ","2024-08-09","VIDTS Noor","Athletics","Women's Heptathlon","Belgium"
"Silver ","2024-08-03","Netherlands","Rowing","Men's Eight","Netherlands"
"Silver ","2024-07-27","Anna HENDERSON","Cycling Road","Women's Individual Time Trial","Great Britain"
"Bronze ","2024-07-27","Chloe DYGERT","Cycling Road","Women's Individual Time Trial","United States of America"
"Gold ","2024-07-27","China","Diving","Women's Synchronised 3m Springboard","People's Republic of China"
"Silver ","2024-07-27","United States","Diving","Women's Synchronised 3m Springboard","United States of America"
"Bronze ","2024-07-27","Great Britain","Diving","Women's Synchronised 3m Springboard","Great Britain"
