"code","athlete_name","gender","country","nationality","birth_date"
"1968185","NARANJO Sol","Female","Ecuador","Ecuador","2007-08-17"
"1968201","TORRES Andres","Male","Ecuador","Ecuador","2000-12-01"
"1968205","FALANIKO Faafoi","Male","Samoa","Samoa","2002-03-14"
"1968215","ABEYSINGHE Kyle","Male","Sri Lanka","Sri Lanka","2000-02-04"
"1968219","NEPAL Sushmita","Female","Nepal","Nepal","2000-10-03"
"1968222","SENAVIRATHNE Ganga","Female","Sri Lanka","Sri Lanka","2003-05-27"
"1968256","KLAMER Rachel","Female","Netherlands","Netherlands","1990-10-08"
"1968257","KINGMA Maya","Female","Netherlands","Netherlands","1995-09-08"
"1968258","MURRAY Richard","Male","Netherlands","Netherlands","1989-01-04"
"1968259","KOLKMAN Mitch","Male","Netherlands","Netherlands","2002-09-19"
"1968268","HOLDER Aniya","Female","South Africa","South Africa","2001-08-03"
"1968270","BRUYNS Joshua","Male","South Africa","South Africa","2003-08-01"
"1968271","MUKHEIBIR Lauren","Female","South Africa","South Africa","2001-10-08"
"1968272","JANSE van RENSBURG Mel","Male","South Africa","South Africa","2001-09-16"
"1968285","OPETAI Motu","Male","Samoa","Samoa","2001-06-20"
"1968300","LEITUFIA Neueli","Male","Samoa","Samoa","2001-10-24"
"1968309","KAKIOUEA Winzar","Male","Nauru","Nauru","2001-04-30"
"1968312","JEE Minhyung","Female","Australia","Australia","1987-01-05"
"1968316","BATTY Brock","Male","Australia","Australia","2007-01-04"
"1968317","NEDOV Emma","Female","Australia","Australia","1996-03-11"
"1968336","SCANLAN Paul","Male","Samoa","Samoa","1996-08-09"
"1968375","ASAAD Man","Male","Syrian Arab Republic","Syrian Arab Republic","1993-11-20"
"1968381","ONOSAI Steve","Male","Samoa","Samoa","2001-09-19"
"1968402","NIULEVAEA Taunuu","Male","Samoa","Samoa","2000-01-21"
"1968603","SHEVCHENKO Alexander","Male","Kazakhstan","Kazakhstan","2000-11-29"
"1968635","MAIAVA Tom","Male","Samoa","Samoa","1999-03-06"
"1968646","BAYANMUNKH Narmandakh","Male","United Arab Emirates","United Arab Emirates","2000-05-11"
"1968686","APELU MALIKO Vaa","Male","Samoa","Samoa","1998-11-10"
"1968691","AFA SUA Vaovasa","Male","Samoa","Samoa","1991-10-11"
"1968743","TALASH","Female","Refugee Olympic Team","Afghanistan","2002-12-22"
"1968744","MANSOURI Farzad","Male","Refugee Olympic Team","Afghanistan","2002-03-19"
"1968845","AARTS Laura","Female","Netherlands","Netherlands","1996-08-10"
"1968846","BUIS Sarah","Female","Netherlands","Netherlands","2000-03-20"
"1968847","SEVENICH Vivian","Female","Netherlands","Netherlands","1993-02-28"
"1968848","WOLVES Iris","Female","Netherlands","Netherlands","1994-05-09"
"1968850","ROGGE Lieke","Female","Netherlands","Netherlands","2000-11-30"
"1968851","ROGGE Bente","Female","Netherlands","Netherlands","1997-10-02"
"1968853","TEN BROEK Nina","Female","Netherlands","Netherlands","2001-07-04"
"1968854","MOOLHUIJZEN Lola","Female","Netherlands","Netherlands","2004-08-17"
"1968855","van de KRAATS Simone","Female","Netherlands","Netherlands","2000-11-15"
"1968856","JOUSTRA Kittylynn","Female","Netherlands","Netherlands","1998-01-11"
"1968857","SLEEKING Brigitte","Female","Netherlands","Netherlands","1998-03-19"
"1968858","van der SLOOT Sabrina","Female","Netherlands","Netherlands","1991-03-16"
"1968860","KEUNING Maartje","Female","Netherlands","Netherlands","1998-04-26"
"1968945","YOUSSEF Alisar","Female","Syrian Arab Republic","Syrian Arab Republic","2005-05-07"
"1968949","KUANY Kuany","Male","South Sudan","South Sudan","1994-07-08"
"1968951","BIDANI Walid","Male","Algeria","Algeria","1994-06-11"
"1968967","KUOL Bul","Male","South Sudan","South Sudan","1997-01-10"
"1968994","MAKOI Jackson","Male","South Sudan","South Sudan","2000-07-03"
"1969115","MALUACH Khaman","Male","South Sudan","South Sudan","2006-09-14"
"1969153","VOLLERING Demi","Female","Netherlands","Netherlands","1996-11-15"
"1969159","van DIJK Ellen","Female","Netherlands","Netherlands","1987-02-11"
"1969165","VOS Marianne","Female","Netherlands","Netherlands","1987-05-13"
"1969166","WIEBES Lorena","Female","Netherlands","Netherlands","1999-03-17"
"1969167","PIETERSE Puck","Female","Netherlands","Netherlands","2002-05-13"
"1969169","TERPSTRA Anne","Female","Netherlands","Netherlands","1991-01-05"
"1969170","van BELLE Lisa","Female","Netherlands","Netherlands","2004-01-30"
"1969173","van der DUIN Maike","Female","Netherlands","Netherlands","2001-09-12"
"1969174","SMULDERS Laura","Female","Netherlands","Netherlands","1993-12-09"
"1969176","SMULDERS Merel","Female","Netherlands","Netherlands","1998-01-23"
"1969177","BAAUW Judy","Female","Netherlands","Netherlands","1994-02-12"
"1969178","van der PEET Steffie","Female","Netherlands","Netherlands","1999-09-10"
